"ISSUE_SEVERITY","ISSUE_SEVERITY_RANK","PRIORITY_SCORE","PROBLEM_TITLE","ISSUE_URL","ISSUE_TYPE","PACKAGE_NAME_AND_VERSION","IDENTIFIERS","CVE","CWE","ASSET_NAME","SOURCE_CODE","ASSET_ID","ASSET_LINK","ASSET_TYPE","ASSET_CLASS","PARENT_ASSET_ID","PARENT_ASSET_NAME","PARENT_ASSET_LINK","EXPLOIT_MATURITY","ISSUE_STATUS","FIRST_INTRODUCED","LAST_INTRODUCED","LAST_RESOLVED","LAST_IGNORED","PROJECT_NAME","PROJECT_URL","PROJECT_TARGET","PROJECT_CRITICALITY","PROJECT_ENVIRONMENT","PROJECT_LIFECYCLE","PROJECT_TAGS","PROJECT_TYPE","PROJECT_OWNER","PROJECT_ORIGIN","PROJECT_TARGET_REFERENCE","PROJECT_COLLECTION","PRODUCT_NAME","ORG_NAME","PROBLEM_ID","INITIAL_ISSUE_TYPE","VULN_DB_URL","NVD_SEVERITY","NVD_SCORE","COMPUTED_FIXABILITY","FIXED_IN_AVAILABLE","FIXED_IN_VERSION","SEMVER_VULNERABLE_RANGE","REACHABILITY","INTRODUCTION_CATEGORY","VULNERABILITY_PUBLICATION_DATE","ORG_PUBLIC_ID"
"High","3","810","Hardcoded Secret","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-5ec09e89-4531-4b3d-8286-3e4c28d09147","Vulnerability","","","[]","[""CWE-547""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","5ec09e89-4531-4b3d-8286-3e4c28d09147","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","819","SQL Injection","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-22f42143-9a81-4320-9191-89c2e395a132","Vulnerability","","","[]","[""CWE-89""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","22f42143-9a81-4320-9191-89c2e395a132","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","805","Cross-site Scripting (XSS)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-660fc244-fbd7-45b6-98d7-7760d43c17c2","Vulnerability","","","[]","[""CWE-79""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","660fc244-fbd7-45b6-98d7-7760d43c17c2","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","805","Command Injection","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-16bfb348-3d56-4f98-9cf1-e4ad7e25b5ed","Vulnerability","","","[]","[""CWE-78""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","16bfb348-3d56-4f98-9cf1-e4ad7e25b5ed","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","819","SQL Injection","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-8074ed00-f202-4e22-9cac-743e6f79da2f","Vulnerability","","","[]","[""CWE-89""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","8074ed00-f202-4e22-9cac-743e6f79da2f","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","805","Code Injection","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-0c3b535c-ba49-4049-884c-faffd16b4287","Vulnerability","","","[]","[""CWE-94""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","0c3b535c-ba49-4049-884c-faffd16b4287","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","805","Server-Side Request Forgery (SSRF)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-58b625c6-a1e3-48d9-ad5d-50c448adc4e1","Vulnerability","","","[]","[""CWE-918""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","58b625c6-a1e3-48d9-ad5d-50c448adc4e1","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","755","Hardcoded Non-Cryptographic Secret","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-73f5550d-646c-4fc9-ac43-d6ba8d0c403e","Vulnerability","","","[]","[""CWE-547""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","73f5550d-646c-4fc9-ac43-d6ba8d0c403e","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","810","Hardcoded Secret","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-150b773e-fb84-44c2-bc9a-010501ed6d1b","Vulnerability","","","[]","[""CWE-547""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","150b773e-fb84-44c2-bc9a-010501ed6d1b","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
"High","3","805","Path Traversal","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501#issue-f9e627dc-1b90-4f3e-8a0c-fc1060e9be02","Vulnerability","","","[]","[""CWE-23""]","gh-hackathon-advanced-security","https://github.com/deloitte-canada-sandbox/gh-hackathon-advanced-security","1827749dc5580a0e16d6f6e8ea892ebd","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type","repository","C","1827749dc5580a0e16d6f6e8ea892ebd","gh-hackathon-advanced-security","https://app.snyk.io/group/8241be1b-30d5-4f85-b575-de8d3c6eeaf2/inventory?f[0][i]=asset_id&f[0][c]=is&f[0][v]=1827749dc5580a0e16d6f6e8ea892ebd&c=and&d=Type",,"Open","2026-04-22 05:15:06.318","2026-04-22 05:15:06.318",,,"Deloitte-Canada-Sandbox/GH-hackathon-advanced-security(main)","https://app.snyk.io/org/test-hackathon-10/project/62501533-efde-4a63-bcdb-6cc171650501","Deloitte-Canada-Sandbox/GH-hackathon-advanced-security",,,,,"Static Application Security Testing (SAST)",,"github","main",,"Snyk Code","Test -hackathon - 10 ","f9e627dc-1b90-4f3e-8a0c-fc1060e9be02","CODE_SECURITY_VULNERABILITY",,,,"Not Applicable","false",,,"Not Applicable","Baseline Issue",,"693655fd-f28a-4f7e-88df-6c386e8c6f29"
